	creator	test_handle	mål_handle
0	afb	123456789/287	20.500.12703/4129
1	aqua	123456789/288	20.500.12703/4037
2	bibul	123456789/289	20.500.12703/4038
3	bvf	123456789/290	20.500.12703/4039
4	cbm	123456789/291	20.500.12703/4040
5	dha	123456789/103	
6	ekol	123456789/292	20.500.12703/4041
7	ekon	123456789/293	20.500.12703/4042
8	esf	123456789/106	
9	ess	123456789/294	20.500.12703/4043
10	et	123456789/295	20.500.12703/4044
11	fask	123456789/134	20.500.12703/4045
12	genfys	123456789/296	20.500.12703/4046
13	hgen	123456789/297	220.500.12703/4047
14	hipp	123456789/105	
15	hmh	123456789/298	20.500.12703/4048
16	huv	123456789/299	20.500.12703/4049
17	kv	123456789/300	20.500.12703/4050
18	ltv	123456789/301	20.500.12703/4051
19	ma	123456789/302	20.500.12703/4052
20	mark	123456789/303	20.500.12703/4053
21	molsci	123456789/304	20.500.12703/4054
22	mykopat	123456789/305	20.500.12703/4055
23	njv	123456789/306	20.500.12703/4056
24	sbt	123456789/307	20.500.12703/4057
25	scaw	123456789/135	
26	sekon	123456789/308	20.500.12703/4058
27	seksko	123456789/309	20.500.12703/4059
28	sfak	123456789/310	20.500.12703/4060
29	sms	123456789/311	20.500.12703/4061
30	sol	123456789/312	20.500.12703/4062
31	sprod	123456789/313	20.500.12703/4063
32	srh	123456789/314	20.500.12703/4064
33	ua	123456789/315	20.500.12703/4065
34	uds	123456789/139	
35	vbsg	123456789/316	20.500.12703/4066
36	vfm	123456789/317	20.500.12703/4067
37	vpe	123456789/318	20.500.12703/4068
38	ah	123456789/490	20.500.12703/4099
39	djfys		20.500.12703/4100
40	entom		20.500.12703/4101
41	eom		20.500.12703/4102
42	evp		20.500.12703/4103
43	idmed		20.500.12703/4104
44	jbt		20.500.12703/4105
45	kemi		20.500.12703/4106
46	kirmeds		20.500.12703/4107
47	lag		20.500.12703/4108
48	lbutv		20.500.12703/4109
49	lmv		20.500.12703/4110
50	lpal		20.500.12703/4111
51	lpul		20.500.12703/4112
52	lt		20.500.12703/4113
53	lto		20.500.12703/4114
54	ltul		20.500.12703/4115
55	mikrob		20.500.12703/4116
56	molbio		20.500.12703/4117
57	mv		20.500.12703/4118
58	nj		20.500.12703/4119
59	nvb		20.500.12703/4120
60	sek		20.500.12703/4121
61	sml		20.500.12703/4122
62	ssko		20.500.12703/4123
63	svek		20.500.12703/4124
64	tsm		20.500.12703/4125
65	unk	123456789/509	20.500.12703/4126
66	vh		20.500.12703/4127
