Programkod	Programanmkod	Program	Läsår	Läsår_link0
LG001	81001.0910	Natur, hälsa och trädgård - magisterprogram	09/10 	ramschema.cfm?programkod=LG001&selLasar=0910&sprak=sv&programanmkod=81001.0910
LG001	81001.1011	Natur, hälsa och trädgård - magisterprogram	10/11 	ramschema.cfm?programkod=LG001&selLasar=1011&sprak=sv&programanmkod=81001.1011
LG001	81019.1112	Natur, hälsa och trädgård - magisterprogram	11/12 	ramschema.cfm?programkod=LG001&selLasar=1112&sprak=sv&programanmkod=81019.1112
LG001	81001.1213	Natur, hälsa och trädgård - magisterprogram	12/13 	ramschema.cfm?programkod=LG001&selLasar=1213&sprak=sv&programanmkod=81001.1213
LG001	81001.1314	Natur, hälsa och trädgård - magisterprogram	13/14 	ramschema.cfm?programkod=LG001&selLasar=1314&sprak=sv&programanmkod=81001.1314
LG001	81001.1415	Natur, hälsa och trädgård - magisterprogram	14/15 	ramschema.cfm?programkod=LG001&selLasar=1415&sprak=sv&programanmkod=81001.1415
LK001	91028.0910	Landsbygdsentreprenör - kandidatprogram	09/10 	ramschema.cfm?programkod=LK001&selLasar=0910&sprak=sv&programanmkod=91028.0910
LK002	81003.0910	Affärsledarskap - påbyggnadsprogram till kandidatexamen	09/10 	ramschema.cfm?programkod=LK002&selLasar=0910&sprak=sv&programanmkod=81003.0910
LK002	81003.1011	Affärsledarskap - påbyggnadsprogram till kandidatexamen	10/11 	ramschema.cfm?programkod=LK002&selLasar=1011&sprak=sv&programanmkod=81003.1011
LK002	81003.1112	Affärsledarskap - påbyggnadsprogram till kandidatexamen	11/12 	ramschema.cfm?programkod=LK002&selLasar=1112&sprak=sv&programanmkod=81003.1112
LK002	81003.1213	Affärsledarskap - påbyggnadsprogram till kandidatexamen	12/13 	ramschema.cfm?programkod=LK002&selLasar=1213&sprak=sv&programanmkod=81003.1213
LK002	81003.1314	Affärsledarskap - påbyggnadsprogram till kandidatexamen	13/14 	ramschema.cfm?programkod=LK002&selLasar=1314&sprak=sv&programanmkod=81003.1314
LK003	91031.0910	Trädgårdsingenjör: marknad - kandidatprogram	09/10 	ramschema.cfm?programkod=LK003&selLasar=0910&sprak=sv&programanmkod=91031.0910
LK003	91031.1011	Trädgårdsingenjör: marknad - kandidatprogram	10/11 	ramschema.cfm?programkod=LK003&selLasar=1011&sprak=sv&programanmkod=91031.1011
LK003	91031.1112	Trädgårdsingenjör: marknad - kandidatprogram	11/12 	ramschema.cfm?programkod=LK003&selLasar=1112&sprak=sv&programanmkod=91031.1112
LK004	91032.0910	Trädgårdsingenjör: design - kandidatprogram	09/10 	ramschema.cfm?programkod=LK004&selLasar=0910&sprak=sv&programanmkod=91032.0910
LK004	91032.1011	Trädgårdsingenjör: design - kandidatprogram	10/11 	ramschema.cfm?programkod=LK004&selLasar=1011&sprak=sv&programanmkod=91032.1011
LK004	91032.1112	Trädgårdsingenjör: design - kandidatprogram	11/12 	ramschema.cfm?programkod=LK004&selLasar=1112&sprak=sv&programanmkod=91032.1112
LK004	91032.1213	Trädgårdsingenjör: design - kandidatprogram	12/13 	ramschema.cfm?programkod=LK004&selLasar=1213&sprak=sv&programanmkod=91032.1213
LK004	91032.1314	Trädgårdsingenjör: design - kandidatprogram	13/14 	ramschema.cfm?programkod=LK004&selLasar=1314&sprak=sv&programanmkod=91032.1314
LK004	91032.1415	Trädgårdsingenjör: design - kandidatprogram	14/15 	ramschema.cfm?programkod=LK004&selLasar=1415&sprak=sv&programanmkod=91032.1415
LK004	91032.1516	Trädgårdsingenjör: design - kandidatprogram	15/16 	ramschema.cfm?programkod=LK004&selLasar=1516&sprak=sv&programanmkod=91032.1516
LK004	91032.1617	Trädgårdsingenjör: design - kandidatprogram	16/17 	ramschema.cfm?programkod=LK004&selLasar=1617&sprak=sv&programanmkod=91032.1617
LK004	91032.1718	Trädgårdsingenjör: design - kandidatprogram	17/18 	ramschema.cfm?programkod=LK004&selLasar=1718&sprak=sv&programanmkod=91032.1718
LK004	91032.1819	Trädgårdsingenjör: design - kandidatprogram	18/19 	ramschema.cfm?programkod=LK004&selLasar=1819&sprak=sv&programanmkod=91032.1819
LK004	91032.1920	Trädgårdsingenjör: design - kandidatprogram	19/20 	ramschema.cfm?programkod=LK004&selLasar=1920&sprak=sv&programanmkod=91032.1920
LK004	91032.2021	Trädgårdsingenjör: design - kandidatprogram	20/21 	ramschema.cfm?programkod=LK004&selLasar=2021&sprak=sv&programanmkod=91032.2021
LK004	91032.2122	Trädgårdsingenjör: design - kandidatprogram	21/22 	ramschema.cfm?programkod=LK004&selLasar=2122&sprak=sv&programanmkod=91032.2122
LK004	91032.2223	Trädgårdsingenjör: design - kandidatprogram	22/23 	ramschema.cfm?programkod=LK004&selLasar=2223&sprak=sv&programanmkod=91032.2223
LK005	91033.0910	Trädgårdsingenjör: odling - kandidatprogram	09/10 	ramschema.cfm?programkod=LK005&selLasar=0910&sprak=sv&programanmkod=91033.0910
LK005	91033.1011	Trädgårdsingenjör: odling - kandidatprogram	10/11 	ramschema.cfm?programkod=LK005&selLasar=1011&sprak=sv&programanmkod=91033.1011
LK005	91033.1112	Trädgårdsingenjör: odling - kandidatprogram	11/12 	ramschema.cfm?programkod=LK005&selLasar=1112&sprak=sv&programanmkod=91033.1112
LK005	91033.1213	Trädgårdsingenjör: odling - kandidatprogram	12/13 	ramschema.cfm?programkod=LK005&selLasar=1213&sprak=sv&programanmkod=91033.1213
LK005	91033.1314	Trädgårdsingenjör: odling - kandidatprogram	13/14 	ramschema.cfm?programkod=LK005&selLasar=1314&sprak=sv&programanmkod=91033.1314
LK005	91033.1415	Trädgårdsingenjör: odling - kandidatprogram	14/15 	ramschema.cfm?programkod=LK005&selLasar=1415&sprak=sv&programanmkod=91033.1415
LK005	91033.1516	Trädgårdsingenjör: odling - kandidatprogram	15/16 	ramschema.cfm?programkod=LK005&selLasar=1516&sprak=sv&programanmkod=91033.1516
LK005	91033.1617	Trädgårdsingenjör: odling - kandidatprogram	16/17 	ramschema.cfm?programkod=LK005&selLasar=1617&sprak=sv&programanmkod=91033.1617
LK005	91033.1718	Trädgårdsingenjör: odling - kandidatprogram	17/18 	ramschema.cfm?programkod=LK005&selLasar=1718&sprak=sv&programanmkod=91033.1718
LK005	91033.1819	Trädgårdsingenjör: odling - kandidatprogram	18/19 	ramschema.cfm?programkod=LK005&selLasar=1819&sprak=sv&programanmkod=91033.1819
LK005	91033.1920	Trädgårdsingenjör: odling - kandidatprogram	19/20 	ramschema.cfm?programkod=LK005&selLasar=1920&sprak=sv&programanmkod=91033.1920
LK005	91033.2021	Trädgårdsingenjör: odling - kandidatprogram	20/21 	ramschema.cfm?programkod=LK005&selLasar=2021&sprak=sv&programanmkod=91033.2021
LK005	91033.2122	Trädgårdsingenjör: odling - kandidatprogram	21/22 	ramschema.cfm?programkod=LK005&selLasar=2122&sprak=sv&programanmkod=91033.2122
LK005	91033.2223	Trädgårdsingenjör: odling - kandidatprogram	22/23 	ramschema.cfm?programkod=LK005&selLasar=2223&sprak=sv&programanmkod=91033.2223
LK006	91014.1011	Lantmästare - kandidatprogram	10/11 	ramschema.cfm?programkod=LK006&selLasar=1011&sprak=sv&programanmkod=91014.1011
LK006	91014.1112	Lantmästare - kandidatprogram	11/12 	ramschema.cfm?programkod=LK006&selLasar=1112&sprak=sv&programanmkod=91014.1112
LK006	91014.1213	Lantmästare - kandidatprogram	12/13 	ramschema.cfm?programkod=LK006&selLasar=1213&sprak=sv&programanmkod=91014.1213
LK006	91014.1314	Lantmästare - kandidatprogram	13/14 	ramschema.cfm?programkod=LK006&selLasar=1314&sprak=sv&programanmkod=91014.1314
LM001	81029.0910	Urban Landscape Dynamics - masterprogram	09/10 	ramschema.cfm?programkod=LM001&selLasar=0910&sprak=sv&programanmkod=81029.0910
LM002	81005.0910	Landsbygdens agroarkitektur och byggande - masterprogram	09/10 	ramschema.cfm?programkod=LM002&selLasar=0910&sprak=sv&programanmkod=81005.0910
LM004	81043.1011	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	10/11 	ramschema.cfm?programkod=LM004&selLasar=1011&sprak=sv&programanmkod=81043.1011
LM004	81043.1112	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	11/12 	ramschema.cfm?programkod=LM004&selLasar=1112&sprak=sv&programanmkod=81043.1112
LM004	81043.1213	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	12/13 	ramschema.cfm?programkod=LM004&selLasar=1213&sprak=sv&programanmkod=81043.1213
LM004	81043.1314	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	13/14 	ramschema.cfm?programkod=LM004&selLasar=1314&sprak=sv&programanmkod=81043.1314
LM004	81043.1415	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	14/15 	ramschema.cfm?programkod=LM004&selLasar=1415&sprak=sv&programanmkod=81043.1415
