Nr	Programkod	Giltig fr.o.m.	Version	Utbildningsplan sve	Utbildningsplan eng	Json
1	LG001	ht 2007	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LG001&giltigfran=ht 2007&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LG001&giltigfran=ht 2007&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LG001&giltigfran=ht 2007&ver=1"" target=""_blank"">Json</a>"
2	LG001	ht 2012	2	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LG001&giltigfran=ht 2012&ver=2&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LG001&giltigfran=ht 2012&ver=2&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LG001&giltigfran=ht 2012&ver=2"" target=""_blank"">Json</a>"
3	LK001	ht 2010	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK001&giltigfran=ht 2010&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK001&giltigfran=ht 2010&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK001&giltigfran=ht 2010&ver=1"" target=""_blank"">Json</a>"
4	LK002	ht 2007	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK002&giltigfran=ht 2007&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK002&giltigfran=ht 2007&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK002&giltigfran=ht 2007&ver=1"" target=""_blank"">Json</a>"
5	LK003	ht 2010	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK003&giltigfran=ht 2010&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK003&giltigfran=ht 2010&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK003&giltigfran=ht 2010&ver=1"" target=""_blank"">Json</a>"
6	LK004	ht 2010	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2010&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2010&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK004&giltigfran=ht 2010&ver=1"" target=""_blank"">Json</a>"
7	LK004	ht 2012	2	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2012&ver=2&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2012&ver=2&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK004&giltigfran=ht 2012&ver=2"" target=""_blank"">Json</a>"
8	LK004	ht 2017	3	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2017&ver=3&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2017&ver=3&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK004&giltigfran=ht 2017&ver=3"" target=""_blank"">Json</a>"
9	LK004	ht 2022	4	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2022&ver=4&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK004&giltigfran=ht 2022&ver=4&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK004&giltigfran=ht 2022&ver=4"" target=""_blank"">Json</a>"
10	LK005	ht 2010	1	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2010&ver=1&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2010&ver=1&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK005&giltigfran=ht 2010&ver=1"" target=""_blank"">Json</a>"
11	LK005	ht 2012	2	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2012&ver=2&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2012&ver=2&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK005&giltigfran=ht 2012&ver=2"" target=""_blank"">Json</a>"
12	LK005	ht 2015	3	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2015&ver=3&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2015&ver=3&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK005&giltigfran=ht 2015&ver=3"" target=""_blank"">Json</a>"
13	LK005	ht 2017	4	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2017&ver=4&sprak=sv"" target=""_blank"">Utbildningsplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplan.cfm?Programkod=LK005&giltigfran=ht 2017&ver=4&sprak=en"" target=""_blank"">Utbildningsplan en</a>"	"<a href=""https://slukurs.slu.se/arkivering/utbildningsplanJson.cfm?Programkod=LK005&giltigfran=ht 2017&ver=4"" target=""_blank"">Json</a>"
