Programkod	Version	Giltig fr.o.m.	Program sve	Program sve_link0	Program eng	Program eng_link0
LG001	2	ht 2012	Natur, hälsa och trädgård - magisterprogram	utbildningsplan.cfm?programkod=LG001&ver=2&sprak=sv	Nature, Health and Garden - Master's Programme	utbildningsplan.cfm?programkod=LG001&ver=2&sprak=en
LK004	3	ht 2017	Trädgårdsingenjör: design - kandidatprogram	utbildningsplan.cfm?programkod=LK004&ver=3&sprak=sv	Horticultural Management Programme - Garden Design, Bachelor´s Programme	utbildningsplan.cfm?programkod=LK004&ver=3&sprak=en
LK004	4	ht 2022	Trädgårdsingenjör: design - kandidatprogram	utbildningsplan.cfm?programkod=LK004&ver=4&sprak=sv	Horticultural Management Programme - Garden Design, Bachelor´s Programme	utbildningsplan.cfm?programkod=LK004&ver=4&sprak=en
LK005	3	ht 2015	Trädgårdsingenjör: odling - kandidatprogram	utbildningsplan.cfm?programkod=LK005&ver=3&sprak=sv	Horticultural Management  - Gardening and Horticultural Production, Bachelor´s Programme	utbildningsplan.cfm?programkod=LK005&ver=3&sprak=en
LK005	5	ht 2019	Trädgårdsingenjör: odling - kandidatprogram	utbildningsplan.cfm?programkod=LK005&ver=5&sprak=sv	Horticultural Management  - Gardening and Horticultural Production, Bachelor´s Programme	utbildningsplan.cfm?programkod=LK005&ver=5&sprak=en
LM004	2	ht 2012	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	utbildningsplan.cfm?programkod=LM004&ver=2&sprak=sv	Sustainable Urban Management - Master Programme	utbildningsplan.cfm?programkod=LM004&ver=2&sprak=en
LM004	3	ht 2016	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	utbildningsplan.cfm?programkod=LM004&ver=3&sprak=sv	Sustainable Urban Management - Master Programme	utbildningsplan.cfm?programkod=LM004&ver=3&sprak=en
LM004	4	ht 2017	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	utbildningsplan.cfm?programkod=LM004&ver=4&sprak=sv	Sustainable Urban Management - Master Programme	utbildningsplan.cfm?programkod=LM004&ver=4&sprak=en
LM004	5	ht 2022	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	utbildningsplan.cfm?programkod=LM004&ver=5&sprak=sv	Sustainable Urban Management - Master Programme	utbildningsplan.cfm?programkod=LM004&ver=5&sprak=en
LM005	2	ht 2012	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=2&sprak=sv	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=2&sprak=en
LM005	3	ht 2019	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=3&sprak=sv	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=3&sprak=en
