Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
1	550	AD0012	1	1996-03-08	Industriell datortillämpning	Institutionen för livsmedelsvetenskap	lmv
2	595	AD0013	1	2012-06-26	Landskap och planeringsprocesser	Institutionen för stad och land	sol
3	565	AD0014	1	2016-12-02	Grundläggande matematik och statistik för biologer	Institutionen för energi och teknik	et
4	894	BAS001	1	2015-09-21	Nyckel till natur och miljö - naturvetenskaplig bastermin, 20 veckor	Fakulteten för naturresurser och jordbruksvetenskap	nj
5	561	BI0001	1	1997-10-29	Grundläggande biologi	Institutionen för lantbruksteknik	ltul
6	460	BI0002	1	1997-10-29	Industriell bioteknik	Institutionen för mikrobiologi	mikrob
7	420	BI0003	1	1998-02-04	Proteinteknologi	Institutionen för molekylärbiologi	molbio
8	561	BI0007	1	1994-10-13	Biologi för tekniker och ekonomer	Institutionen för lantbruksteknik	ltul
9	670	BI0008	1	1997-10-21	Populationers genetik	Institutionen för husdjursgenetik	hgen
10	481	BI0020	1	1996-03-21	Cellbiologi	Institutionen för växtbiologi	vbsg
11	610	BI0021	1	1995-04-05	Ekologi, grundkurs	Institutionen för landskapsplanering, Alnarp	lpal
12	410	BI0022	1	1996-04-01	Ekologi	Institutionen för entomologi	entom
13	610	BI0023	1	1997-10-27	Växters fysiologi och ekologi	Institutionen för landskapsplanering, Alnarp	lpal
14	415	BI0027	1	1994-02-18	Insektsekologi	Institutionen för ekologi	ekol
15	410	BI0031	1	1997-10-29	Insekter i lantbruket	Institutionen för entomologi	entom
16	650	BI0035	1	1997-12-10	Grundläggande och tillämpad etologi	Institutionen för husdjurens utfodring och vård	huv
17	540	BI0045	1	1995-12-06	Odling och utnyttjande av vallfoder i norra Sverige	Institutionen för norrländsk jordbruksvetenskap	njv
18	540	BI0046	1	1995-12-06	Odlingsmarkens ekologi	Institutionen för norrländsk jordbruksvetenskap	njv
19	480	BI0049	1	1996-03-21	Genteknik	Institutionen för växtbiologi	vbsg
20	481	BI0050	1	1997-10-29	Geners uttryck och reglering i animalie- och växtceller	Institutionen för växtbiologi	vbsg
21	480	BI0059	1	1995-12-08	Allmän och molekylär genetik	Institutionen för växtbiologi	vbsg
22	712	BI0061	1	1992-04-08	Husdjurens anatomi - grundkurs	Institutionen för anatomi, fysiologi och biokemi	afb
23	712	BI0066	1	1997-12-10	Husdjurens anatomi och fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
24	690	BI0068	1	1997-12-10	Djurfysiologi	Institutionen för djurfysiologi	djfys
25	650	BI0073	1	1997-12-10	Lantbrukets husdjur - översiktskurs	Institutionen för husdjurens utfodring och vård	huv
26	650	BI0080	1	1997-12-10	Hästens utfodring och avel	Institutionen för husdjurens utfodring och vård	huv
27	650	BI0082	1	1997-12-10	Hästens utfodring och avel - översiktskurs	Institutionen för husdjurens utfodring och vård	huv
28	670	BI0083	1	1994-02-04	Genomanalys	Institutionen för husdjursgenetik	hgen
29	670	BI0085	1	1997-12-10	Husdjursvetenskap - animalieproduktion	Institutionen för husdjursgenetik	hgen
30	650	BI0089	1	1997-12-10	Husdjursvetenskap - fördjupningskurs	Institutionen för husdjurens utfodring och vård	huv
31	670	BI0091	1	1997-12-10	Hund - avel, utfodring och hälsa	Institutionen för husdjursgenetik	hgen
32	670	BI0093	1	1997-12-10	Hund - avel, utfodring och hälsa - översiktskurs	Institutionen för husdjursgenetik	hgen
33	650	BI0099	1	1997-12-10	Husdjursvetenskap - seminariekurs	Institutionen för husdjurens utfodring och vård	huv
34	670	BI0101	1	1997-12-10	Husdjursvetenskap - studieresa	Institutionen för husdjursgenetik	hgen
35	670	BI0111	1	1997-12-10	Genetik och husdjursförädling	Institutionen för husdjursgenetik	hgen
36	670	BI0113	1	1998-02-11	Kvantitativ genetik och förädlingsteori	Institutionen för husdjursgenetik	hgen
37	530	BI0118	1	1997-12-10	Näringslivsinriktad husdjursrådgivning	Institutionen för jordbruksvetenskap Skara	unk
38	650	BI0123	1	1997-12-10	Fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
39	650	BI0133	1	1995-09-13	Besättningsstudier - projektkurs	Institutionen för husdjurens utfodring och vård	huv
40	550	BI0145	1	1996-03-08	Livsmedelsmikrobiologi/hygien	Institutionen för livsmedelsvetenskap	lmv
41	550	BI0146	1	1996-03-08	Näringslära	Institutionen för livsmedelsvetenskap	lmv
42	550	BI0147	1	1996-03-08	Livsmedelsråvaror	Institutionen för livsmedelsvetenskap	lmv
43	600	BI0148	1	1994-05-18	Driftledning i hästföretag	Institutionen för jordbrukets biosystem och teknologi	jbt
