enhet	anmkod	Kurskod	Benamning	Enhetsnamn
999	10371.1112	LU0072	testa	Testavdelningen
999	10372.1112	LU0072	testa	Testavdelningen
999	50051.1011	LU0072	testa	Testavdelningen
991	20158.1617	UU0084	Kommunikationens grunder  (uppdragsutbildning)	Ortskansliet i Skara
991	20164.1516	UU0084	Kommunikationens grunder  (uppdragsutbildning)	Ortskansliet i Skara
991	50046.1516	UU0087	Lean – ständig förbättring för lantbruks-, landsbygds- och trädgårdsföretag  (uppdragsutbildning)	Ortskansliet i Skara
991	10303.1718	UU0094	Coachning för rådgivare inom naturresursområdet  (uppdragsutbildning)	Ortskansliet i Skara
991	30304.1617	UU0088	Processledning för hållbar naturresurshantering (uppdragsutbildning)	Ortskansliet i Skara
988	19882.0001	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	19882.0102	EN9004	Engelska med naturvetenskaplig inriktning	Internationella byrån
988	19883.0001	EN9001	Engelska med inriktning på jordbruk, trädgård och landskap	Internationella byrån
988	19881.0001	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	19881.0102	EN9001	Engelska med inriktning på jordbruk, trädgård och landskap	Internationella byrån
988	10801.9900	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	10802.9900	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	39881.0001	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	39881.0102	EN9004	Engelska med naturvetenskaplig inriktning	Internationella byrån
988	39882.0001	SP9002	Språkfärdighetskurs i spanska med naturvetenskaplig inriktning	Internationella byrån
988	39882.0102	FR9002	Språkfärdighetskurs i franska med naturvetenskaplig inriktning	Internationella byrån
988	30801.9900	EN9003	Engelska, grundläggande språkfärdighetskurs	Internationella byrån
988	30802.9900	SP9002	Språkfärdighetskurs i spanska med naturvetenskaplig inriktning	Internationella byrån
987	19871.0001	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19871.0102	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19871.0203	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0001	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0102	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19872.0203	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	19873.0001	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	19873.0102	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	19873.0203	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	10701.9900	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	10702.9900	ÖÄ9001	Introduktionskurs till universitetsstudier (SESAM I)	Utbildningsbyrån
987	10704.9900	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
987	30702.9900	ÖÄ9002	Vetenskapsteori (SESAM II)	Utbildningsbyrån
979	P0047.1415	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P9807.0203	POG0017	Forskningsetik	Planeringsavdelningen
979	P9807.0304	POG0018	Forskningsetik med inriktning mot naturvetenskap	Planeringsavdelningen
979	P9808.0304	POG0035	Miljöetik	Planeringsavdelningen
979	P0060.1112	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0055.1415	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P9809.0203	POG0035	Miljöetik	Planeringsavdelningen
979	P0024.2021	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0056.2122	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0046.1617	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0086.1819	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0095.1819	POG0059	Högskolepedagogik, grundkurs	Planeringsavdelningen
979	P0022.1920	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0018.1617	POG0072	Tvärvetenskapliga perspektiv	Planeringsavdelningen
979	P0107.2021	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0018.2122	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0085.2021	POG0087	Hållbarhet i en globaliserad värld	Planeringsavdelningen
979	P0106.2021	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0018.1819	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0052.1314	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0055.1213	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0014.1213	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0001.1819	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0016.1314	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0060.1213	POG0053	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0057.1213	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0031.1920	POG0079	Tvärvetenskapliga perspektiv	Planeringsavdelningen
979	P0018.1718	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0058.1213	POG0064	Att kommunicera forskning	Planeringsavdelningen
979	P0048.1617	POG0073	Tvärvetenskapliga perspektiv, webbaserad	Planeringsavdelningen
979	P0012.1718	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0035.1718	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0028.1516	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0001.1415	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0047.1314	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0046.1314	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0050.1314	POG0037	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0045.1314	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0076.1314	POG0066	Träning av generella färdigheter för framgångsrika doktorander - globala och lokal perspektiv	Planeringsavdelningen
979	P0010.1516	POG0067	Vetenskapens praktik och villkor	Planeringsavdelningen
979	P0028.1617	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0045.1617	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0008.1617	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0024.1617	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0085.1819	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0009.1415	POG0067	Vetenskapens praktik och villkor	Planeringsavdelningen
979	P0015.1415	POG0064	Att kommunicera forskning	Planeringsavdelningen
979	P0011.1516	POG0068	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0008.1516	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0018.1415	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P0059.2021	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0075.2021	POG0086	Att kommunicera forskning	Planeringsavdelningen
979	P0013.2223	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0007.2122	POG0087	Hållbarhet i en globaliserad värld	Planeringsavdelningen
979	P0035.1415	POG0055	Informationssökning och metoder för vetenskaplig kommunikation, Uppsala	Planeringsavdelningen
979	P0038.1415	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0036.1415	POG0056	Informationssökning och metoder för vetenskaplig kommunikation, Umeå	Planeringsavdelningen
979	P0037.1415	POG0057	Informationssökning och metoder för vetenskaplig kommunikation, Alnarp	Planeringsavdelningen
979	P0030.2021	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0093.1819	POG0082	Att kommunicera kunskap	Planeringsavdelningen
979	P0031.2021	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0003.2223	POG0077	Att leda organisationer, projekt och processer	Planeringsavdelningen
979	P0042.1920	POG0065	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0004.1819	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0052.1920	POG0070	Vetenskapsfilosofi, Uppsala	Planeringsavdelningen
979	P0078.2122	POG0075	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0050.2122	POG0069	Etik och vetenskapsfilosofi	Planeringsavdelningen
979	P0015.1213	POG0061	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
979	P0013.1213	POG0054	Forskningsetik för doktorander	Planeringsavdelningen
979	P9801.0304	POG0023	Informationssystem, Umeå	Planeringsavdelningen
979	P9801.0405	POG0010	Vetenskaplig publicering, Umeå	Planeringsavdelningen
979	P9802.0203	POG0022	Informationssystem, Alnarp	Planeringsavdelningen
979	P9802.0304	POG0006	Att kommunicera kunskap	Planeringsavdelningen
979	P9803.0304	POG0025	Introduktion till forskarutbildningen	Planeringsavdelningen
979	P9804.0304	POG0027	Introduktion till forskarutbildningen, Umeå	Planeringsavdelningen
979	P9805.0304	POG0032	Lär känna ditt ledarskap	Planeringsavdelningen
979	P9806.0203	POG0019	Forskningsetik med inriktning mot samhällsvetenskap	Planeringsavdelningen
979	P9806.0304	POG0019	Forskningsetik med inriktning mot samhällsvetenskap	Planeringsavdelningen
979	P9809.0304	POG0011	Att skriva och publicera vetenskapliga artiklar	Planeringsavdelningen
