Nr	Kurskod	Anmkod	Läsår	benämning	Enhet	creator	Kurstillfälle	Kursplan sve	Kursplan eng	Json	benamning
1	PAG0001	P6901	0203		712	afb	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P6901.0203"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0001"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0001"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAG0001"" target=""_blank"">Json</a>"	Naturvetenskap och humaniora - hur ser vi på djur?
2	PAG0002	P5502	0203		550	lmv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P5502.0203"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAG0002"" target=""_blank"">Json</a>"	Livsmedelsetik och lagstiftning
3	PAG0003	P6201	0203		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P6201.0203"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0003"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAG0003"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAG0003"" target=""_blank"">Json</a>"	Formative evaluation in research projects
4	PAS0002	P0004	0506		650	huv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0004.0506"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0002"" target=""_blank"">Json</a>"	Analytiska metoder och principer i nutrition och biologi
5	PAS0002	P0050	0708		650	huv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0050.0708"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0002"" target=""_blank"">Json</a>"	Analytiska metoder och principer i nutrition och biologi
6	PAS0002	P0051	0910		650	huv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0051.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0002"" target=""_blank"">Json</a>"	Analytiska metoder och principer i nutrition och biologi
7	PAS0002	P6502	0304		650	huv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P6502.0304"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0002"" target=""_blank"">Json</a>"	Analytiska metoder och principer i nutrition och biologi
8	PAS0002	P6503	0304		650	huv	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P6503.0304"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0002"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0002"" target=""_blank"">Json</a>"	Analytiska metoder och principer i nutrition och biologi
9	PAS0007	P0036	0506		545	sbt	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0036.0506"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0007"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0007"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0007"" target=""_blank"">Json</a>"	Tillämpad NIR spektroskopi
10	PAS0007	P5401	0203		545	sbt	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P5401.0203"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0007"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PAS0007"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PAS0007"" target=""_blank"">Json</a>"	Tillämpad NIR spektroskopi
